# freq 	 sqrt(Sn)
5.000000e+00	1.167984e-22
5.011530e+00	1.135524e-22
5.023087e+00	1.104067e-22
5.034670e+00	1.073577e-22
5.046280e+00	1.044021e-22
5.057917e+00	1.015366e-22
5.069580e+00	9.875799e-23
5.081271e+00	9.606341e-23
5.092988e+00	9.344994e-23
5.104733e+00	9.091482e-23
5.116504e+00	8.845540e-23
5.128303e+00	8.606914e-23
5.140129e+00	8.375359e-23
5.151982e+00	8.150639e-23
5.163862e+00	7.932528e-23
5.175770e+00	7.720808e-23
5.187706e+00	7.515270e-23
5.199669e+00	7.315712e-23
5.211659e+00	7.121940e-23
5.223677e+00	6.933766e-23
5.235723e+00	6.751012e-23
5.247797e+00	6.573502e-23
5.259898e+00	6.401071e-23
5.272028e+00	6.233557e-23
5.284185e+00	6.070805e-23
5.296370e+00	5.912665e-23
5.308584e+00	5.758993e-23
5.320825e+00	5.609650e-23
5.333095e+00	5.464501e-23
5.345393e+00	5.323416e-23
5.357720e+00	5.186270e-23
5.370075e+00	5.052943e-23
5.382458e+00	4.923318e-23
5.394870e+00	4.797283e-23
5.407311e+00	4.674728e-23
5.419780e+00	4.555548e-23
5.432278e+00	4.439642e-23
5.444805e+00	4.326912e-23
5.457361e+00	4.217263e-23
5.469946e+00	4.110603e-23
5.482559e+00	4.006844e-23
5.495202e+00	3.905900e-23
5.507874e+00	3.807688e-23
5.520575e+00	3.712127e-23
5.533306e+00	3.619141e-23
5.546066e+00	3.528655e-23
5.558855e+00	3.440595e-23
5.571674e+00	3.354891e-23
5.584522e+00	3.271476e-23
5.597400e+00	3.190283e-23
5.610308e+00	3.111249e-23
5.623245e+00	3.034311e-23
5.636212e+00	2.959411e-23
5.649209e+00	2.886491e-23
5.662237e+00	2.815493e-23
5.675294e+00	2.746364e-23
5.688381e+00	2.679051e-23
5.701498e+00	2.613503e-23
5.714646e+00	2.549670e-23
5.727824e+00	2.487506e-23
5.741033e+00	2.426962e-23
5.754271e+00	2.367994e-23
5.767541e+00	2.310559e-23
5.780841e+00	2.254613e-23
5.794172e+00	2.200117e-23
5.807533e+00	2.147029e-23
5.820925e+00	2.095312e-23
5.834348e+00	2.044927e-23
5.847802e+00	1.995839e-23
5.861287e+00	1.948011e-23
5.874803e+00	1.901411e-23
5.888351e+00	1.856004e-23
5.901929e+00	1.811759e-23
5.915539e+00	1.768643e-23
5.929181e+00	1.726627e-23
5.942853e+00	1.685680e-23
5.956558e+00	1.645776e-23
5.970294e+00	1.606884e-23
5.984061e+00	1.568979e-23
5.997860e+00	1.532034e-23
6.011691e+00	1.496024e-23
6.025554e+00	1.460924e-23
6.039449e+00	1.426710e-23
6.053376e+00	1.393358e-23
6.067336e+00	1.360845e-23
6.081327e+00	1.329151e-23
6.095351e+00	1.298253e-23
6.109406e+00	1.268130e-23
6.123495e+00	1.238762e-23
6.137615e+00	1.210130e-23
6.151769e+00	1.182214e-23
6.165955e+00	1.154996e-23
6.180174e+00	1.128458e-23
6.194425e+00	1.102581e-23
6.208710e+00	1.077350e-23
6.223027e+00	1.052747e-23
6.237377e+00	1.028757e-23
6.251761e+00	1.005362e-23
6.266177e+00	9.825496e-24
6.280627e+00	9.603032e-24
6.295110e+00	9.386087e-24
6.309627e+00	9.174521e-24
6.324177e+00	8.968198e-24
6.338761e+00	8.766984e-24
6.353378e+00	8.570749e-24
6.368029e+00	8.379368e-24
6.382714e+00	8.192719e-24
6.397432e+00	8.010682e-24
6.412185e+00	7.833141e-24
6.426971e+00	7.659982e-24
