Lambda_i , lambda_00 , lambda_10 , lambda_01 , lambda_11 , lambda_21 , lambda_02 , lambda_12 , lambda_22 , lambda_03 , lambda_13 , lambda_23  
 rho_1 ,3931.8979897196696 , -17395.758706812805 , 3132.375545898835 , 343965.86092361377 , -1.2162565819981997e6 , -70698.00600428853 , 1.383907177859705e6 , -3.9662761890979446e6 , -60017.52423652596 , 803515.1181825735 , -2.091710365941658e6
 rho_2 ,-40105.47653771657 , 112253.0169706701 , 23561.696065836168 , -3.476180699403351e6 , 1.137593670849482e7 , 754313.1127166454 , -1.308476044625268e7 , 3.6444584853928134e7 , 596226.612472288 , -7.4277901143564405e6 , 1.8928977514040343e7
 rho_3 ,83208.35471266537 , -191237.7264145924 , -210916.2454782992 , 8.71797508352568e6 , -2.6914942420669552e7 , -1.9889806527362722e6 , 3.0888029960154563e7 , -8.390870279256162e7 , -1.4535031953446497e6 , 1.7063528990822166e7 , -4.2748659731120914e7
 v_2 ,0.8149838730507785 , 2.5747553517454658 , 1.1610198035496786 , -2.3627771785551537 , 6.771038707057573 , 0.7570782938606834 , -2.7256896890432474 , 7.1140380397149965 , 0.1766934149293479 , -0.7978690983168183 , 2.1162391502005153
 gamma_1 ,0.006927402739328343 , 0.03020474290328911 , 0.006308024337706171 , -0.12074130661131138 , 0.26271598905781324 , 0.0034151773647198794 , -0.10779338611188374 , 0.27098966966891747 , 0.0007374185938559283 , -0.02749621038376281 , 0.0733150789135702
 gamma_2 ,1.010344404799477 , 0.0008993122007234548 , 0.283949116804459 , -4.049752962958005 , 13.207828172665366 , 0.10396278486805426 , -7.025059158961947 , 24.784892370130475 , 0.03093202475605892 , -2.6924023896851663 , 9.609374464684983
 gamma_3 ,1.3081615607036106 , -0.005537729694807678 , -0.06782917938621007 , -0.6689834970767117 , 3.403147966134083 , -0.05296577374411866 , -0.9923793203111362 , 4.820681208409587 , -0.006134139870393713 , -0.38429253308696365 , 1.7561754421985984
 sigma_1 ,2096.551999295543 , 1463.7493168261553 , 1312.5493286098522 , 18307.330017082117 , -43534.1440746107 , -833.2889543511114 , 32047.31997183187 , -108609.45037520859 , 452.25136398112204 , 8353.439546391714 , -44531.3250037322
 sigma_2 ,-10114.056472621156 , -44631.01109458185 , -6541.308761668722 , -266959.23419307504 , 686328.3229317984 , 3405.6372187679685 , -437507.7208209015 , 1.6318171307344697e6 , -7462.648563007646 , -114585.25177153319 , 674402.4689098676
 sigma_3 ,22933.658273436497 , 230960.00814979506 , 14961.083974183695 , 1.1940181342318142e6 , -3.1042239693052764e6 , -3038.166617199259 , 1.8720322849093592e6 , -7.309145012085539e6 , 42738.22871475411 , 467502.018616601 , -3.064853498512499e6
 sigma_4 ,-14621.71522218357 , -377812.8579387104 , -9608.682631509726 , -1.7108925257214056e6 , 4.332924601416521e6 , -22366.683262266528 , -2.5019716386377467e6 , 1.0274495902259542e7 , -85360.30079034246 , -570025.3441737515 , 4.396844346849777e6
 beta_1 ,97.89747327985583 , -42.659730877489224, 153.48421037904913 , -1417.0620760768954 , 2752.8614143665027, 138.7406469558649 , -1433.6585075135881 , 2857.7418952430758, 41.025109467376126 , -423.680737974639 , 850.3594335657173
 beta_2 ,-3.282701958759534 , -9.051384468245866, -12.415449742258042 , 55.4716447709787 , -106.05109938966335, -11.953044553690658 , 76.80704618365418 , -155.33172948098394, -3.4129261592393263 , 25.572377569952536 , -54.408036707740465
 beta_3 ,-0.000025156429818799565 , 0.000019750256942201327 , -0.000018370671469295915 , 0.000021886317041311973 , 0.00008250240316860033 , 7.157371250566708e-6 , -0.000055780000112270685 , 0.00019142082884072178 , 5.447166261464217e-6 , -0.00003220610095021982 , 0.00007974016714984341
 alpha _1 ,43.31514709695348 , 638.6332679188081 , -32.85768747216059 , 2415.8938269370315 , -5766.875169379177 , -61.85459307173841 , 2953.967762459948 , -8986.29057591497 , -21.571435779762044 , 981.2158224673428 , -3239.5664895930286
 alpha _2 ,-0.07020209449091723 , -0.16269798450687084 , -0.1872514685185499 , 1.138313650449945 , -2.8334196304430046 , -0.17137955686840617 , 1.7197549338119527 , -4.539717148261272 , -0.049983437357548705 , 0.6062072055948309 , -1.682769616644546
 alpha _3 ,9.5988072383479 , -397.05438595557433 , 16.202126189517813 , -1574.8286986717037 , 3600.3410843831093 , 27.092429659075467 , -1786.482357315139 , 5152.919378666511 , 11.175710130033895 , -577.7999423177481 , 1808.730762932043
 alpha _4 ,-0.02989487384493607 , 1.4022106448583738 , -0.07356049468633846 , 0.8337006542278661 , 0.2240008282397391 , -0.055202870001177226 , 0.5667186343606578 , 0.7186931973380503 , -0.015507437354325743 , 0.15750322779277187 , 0.21076815715176228
 alpha _5 ,0.9974408278363099 , -0.007884449714907203 , -0.059046901195591035 , 1.3958712396764088 , -4.516631601676276 , -0.05585343136869692 , 1.7516580039343603 , -5.990208965347804 , -0.017945336522161195 , 0.5965097794825992 , -2.0608879367971804
,,,,,,,,,,,
